Fuente/Origen,Titulo_URL,Precio,Latitud,Longitud,Dirección,Barrio/Zona,Provincia,Tipología/Producto,google_maps,Fecha de publicación,Vendedor,m2 totales,m2 cubiertos,Dormitorios,Baños
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-alto-alberdi-2-dorm.-56970253.html,69000,-31.4028507,-64.2147802,Santa Rosa 2500,Alto Alberdi,Córdoba,Departamento,"https://maps.google.com/?q=-31.4028507,-64.2147802",20-08-2025,Remax Palace,73,73,2,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-depto-nueva-cordoba-2-dorm-56969902.html,86000,-31.4270882,-64.1837706,Santiago Derqui 300,Nueva Córdoba,Córdoba,Departamento,"https://maps.google.com/?q=-31.4270882,-64.1837706",21-08-2025,RE/MAX ACTIVO,53,53,2,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-depto-1-dormitorio-con-balcon-y-pileta-alto-56954711.html,60000,-31.403558,-64.2186051,GARZON MACEDA 175,Alto Alberdi,Córdoba,Departamento,"https://maps.google.com/?q=-31.403558,-64.21860509999999",20-08-2025,Módulo 6 - Asesores Inmobiliarios,55,55,1,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-depto-2-dorm-con-terraza-propia-b-observatorio-56968096.html,87000,-31.4237079,-64.1995436,Avenida J. M. de Pueyrredón 800,Observatorio,Córdoba,Departamento,"https://maps.google.com/?q=-31.4237079,-64.1995436",20-08-2025,RE/MAX ULTRA,66,66,2,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-depto-premium-carlos-paz-puerto-norte-lago-56969603.html,570000,-31.3886183,-64.4641759,Puerto Norte 300,Villa Carlos Paz,Córdoba,Departamento,"https://maps.google.com/?q=-31.3886183,-64.4641759",20-08-2025,Remax Palace,175,135,2,2
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-vendo-dpto-1-dorm-56966185.html,75000,-31.4221319,-64.1799653,Illia 437,Nueva Córdoba,Córdoba,Departamento,"https://maps.google.com/?q=-31.4221319,-64.1799652999999",20-08-2025,Hugo Martin Fernandez,45,45,1,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-depto-en-alberdi-1-dormitorio-a-estrenar-56969267.html,64500,-31.40715981,-64.19438171,Nicolas Avellaneda  400 12°,Alberdi,Córdoba,Departamento,"https://maps.google.com/?q=-31.40715981,-64.19438171",20-08-2025,GRUPO BANKER INVERSIONES INMOBILIARIAS,63,52,1,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamentos-en-bloque-san-vicente-56971240.html,224000,-31.4257463,-64.1472915,Agustín Garzón 2800,San Vicente,Córdoba,Departamento,"https://maps.google.com/?q=-31.4257463,-64.1472915",20-08-2025,REMAX JARDIN,350,350,14,14
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-condominio-exclusivo.-zona-norte.-56966687.html,300000,-31.3612174,-64.2811773,Av. República de China 2100,Greenpark,Córdoba,Departamento,"https://maps.google.com/?q=-31.3612174,-64.2811773",20-08-2025,CORDOBA REAL ESTATE,121,121,2,2
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-venta-1-dorm-alberdi-apto-credito-56971662.html,34990,-31.404483,-64.2132373,Avenida Colón 2300,Córdoba,Córdoba,Departamento,"https://maps.google.com/?q=-31.404483,-64.2132373",27-08-2025,REMAX JARDIN,29,27,1,1
